DateComm	DateLiv	Nom	Prénom	Ancienneté	Secteur	CodePostal	Pays	TrancheHoraire	TypeFoyer	Produit	Allégé	NomGamme	NomRayon	Prix Unitaire	Quantité	Prix de Revient
16/07/2022	17/07/2022	Robichaud	Roland	Récent	Paris 14	75014	France	Matin	Célibataire avec un enfant	Chang	0	Sirops	Boissons	10.85	50	O9,83
16/07/2022	17/07/2022	Robichaud	Roland	Récent	Paris 14	75014	France	Matin	Célibataire avec un enfant	Chef Anton's Gumbo Mix	0	Condiments	Fruits & Légumes	12.15	65	O9,88
13/11/2022	15/11/2022	Dumont	Fran	Récent	Paris 13	75013	France	Soirée	Couple avec un enfant	Chai	0	Sirops	Boissons	10.3	20	O8,72
02/12/2022	04/12/2022	Robichaud	Roland	Récent	Paris 14	75014	France	Matin	Célibataire avec un enfant	Coca Light	1	Sodas	Boissons	150.55	20	116,15
11/02/2023	12/02/2023	Toussaint	Mary	Récent	Le Kremlin-B.	94270	France	Soirée	Célibataire avec deux enfants ou plus	Mozzarella di Giovanni	0	Produits laitiers	Frais	19.85	40	17,09
07/03/2023	09/03/2023	Roy	Pascale	Récent	Le Kremlin-B.	94270	France	Après-Midi	Couple sans enfant	Lakkalikööri	0	Alcools	Boissons	10.3	42	O9,02
31/03/2023	03/04/2023	Lapierre	Lino	Récent	Paris 5	75005	France	Matin	Couple avec un enfant	Original Frankfurter grüne Soße	0	Condiments	Fruits & Légumes	7.45	7	O6,79
08/06/2023	09/06/2023	Arceneaux	Michael	Habitué	Paris 13	75013	France	Soirée	Couple avec un enfant	Mozzarella di Giovanni	0	Produits laitiers	Frais	24.85	21	17,09
08/06/2023	09/06/2023	Arceneaux	Michael	Habitué	Paris 13	75013	France	Soirée	Couple avec un enfant	Röd Kaviar	0	Poissons et fruits de mer	Frais	10.7	9	O7,28
28/06/2023	29/06/2023	Bergeron	José	Nouveau	Paris 13	75013	France	Soirée	Célibataire avec un enfant	Coca Zéro	1	Sodas	Boissons	20.35	10	17,77
23/10/2024	25/10/2024	Gallant	Art	Récent	Paris 13	75013	France	Matin	Célibataire avec deux enfants ou plus	Fjörd 0%	1	Produits laitiers	Frais	17.15	10	15,23
25/11/2022	26/11/2022	Simon	Philip	Nouveau	Paris 5	75005	France	Soirée	Couple sans enfant	Grandma's Boysenberry Spread	0	Condiments	Fruits & Légumes	14.3	6	13,08
28/08/2022	29/08/2022	Leboeuf	Maria	Récent	Ivry	94200	France	Soirée	Célibataire avec deux enfants ou plus	Chang	0	Sirops	Boissons	10.85	25	O9,83
19/10/2024	20/10/2024	Robichaud	Roland	Récent	Paris 14	75014	France	Soirée	Célibataire avec un enfant	Chef Anton's Gumbo Mix	0	Condiments	Fruits & Légumes	12.15	32	O9,88
19/02/2023	20/02/2023	Lapierre	Lino	Récent	Paris 5	75005	France	Matin	Couple avec un enfant	Chef Anton's Cajun Seasoning	0	Condiments	Fruits & Légumes	12.55	16	11,92
22/03/2023	24/03/2023	Robichaud	Felipe	Récent	Paris 14	75014	France	Après-Midi	Célibataire avec un enfant	Chang	0	Sirops	Boissons	10.85	20	O9,83
26/10/2024	28/10/2024	Duhon	Jonas	Récent	Ivry	94200	France	Soirée	Célibataire sans enfant	Fløtemysost	1	Produits laitiers	Frais	12.3	15	10,59
13/12/2024	15/12/2024	Arceneaux	Michael	Habitué	Paris 13	75013	France	Soirée	Couple avec un enfant	Gudbrandsdalsost	0	Produits laitiers	Frais	20.55	20	17,6
