customer_id,Full Name,email,SignupDate,city,segment,age,marketing_optin,country
C100636,Nina Leroy,user636@example.com,2023/05/22,Strasbourg,basic,41,1,FR
C100683,Emma Moreau,user683@example.com,29/07/2024,Bordeaux,plus,70,1,FR
C101033,Omar Richard,user1033@example.com,2023/07/08,Lyon,premium,31,1,FR
C100190,Camille Bernard,user190@example.com,2024/02/15,Marseille,premium,57,0,FR
C101083,Sarah Dubois,user1083@example.com,2023/11/30,Bordeaux,plus,30,0,FR
C100283,Yanis Moreau,user283@example.com,2023/10/22,Paris,basic,43,0,FR
C100817,Nina Dubois,user817@example.com,05/03/2023,Nantes,basic,27,0,FR
C100314,Inès Petit,user314@example.com,27/05/2023,Lyon,premium,31,0,FR
C100537,Yanis Robert,user537@example.com,2023-03-11,Paris,basic,52,1,FR
C100664,Inès Leroy,user664@example.com,25/12/2023,Bordeaux,plus,28,0,FR
C100239,Jules Moreau,user239@example.com,2024-01-12,Strasbourg,premium,29,0,FR
C100135,Camille Durand,user135@example.com,2023/07/02,Strasbourg,premium,53,1,FR
C100335,Noah Dubois,user335@example.com,29/04/2024,Paris,basic,22,1,FR
C100189,Jules Robert,user189@example.com,2023/06/30,Strasbourg,basic,72,0,FR
C100838,Yanis Moreau,user838@example.com,2023/01/09,Strasbourg,plus,22,1,FR
C100321,Inès Petit,user321@example.com,2023-03-06,Nantes,basic,55,1,FR
C101146,Sarah Bernard,user1146@example.com,15/11/2023,Marseille,premium,32,0,FR
C100228,Inès Durand,user228@example.com,2023/11/25,Marseille,plus,60,1,FR
C100480,Léa Thomas,user480@example.com,2023-06-22,Strasbourg,plus,61,1,FR
C101043,Inès Bernard,user1043@example.com,12/08/2023,Paris,basic,16,1,FR
C101006,Léa Robert,user1006@example.com,2024/05/25,Lyon,plus,43,1,FR
C100306,Léa Durand,user306@example.com,2023-07-01,Strasbourg,plus,64,0,FR
C101092,Nina Moreau,user1092@example.com,2024-05-20,Lyon,plus,24,1,FR
C100568,Camille Durand,user568@example.com,2024-01-21,Paris,basic,58,1,FR
C100220,Jules Petit,user220@example.com,2023/03/18,Strasbourg,plus,72,0,FR
C100831,Nina Dubois,user831@example.com,2023/05/25,Lyon,basic,51,1,FR
C100581,Hugo Bernard,user581@example.com,2024/05/15,Marseille,plus,76,1,FR
C100198,Camille Petit,user198@example.com,2023-07-23,Paris,plus,59,0,FR
C100916,Sarah Petit,user916@example.com,2023-11-22,Strasbourg,basic,28,1,FR
C100455,Camille Leroy,user455@example.com,30/11/2023,Lyon,basic,37,1,FR
C101154,Léa Richard,user1154@example.com,2023/07/02,Marseille,basic,59,1,FR
C101159,Alex Dubois,user1159@example.com,24/07/2023,Lyon,basic,72,0,FR
C101070,Nina Dubois,user1070@example.com,2024-02-09,Marseille,plus,66,1,FR
C100708,Yanis Leroy,user708@example.com,2023/10/13,Paris,plus,52,1,FR
C100065,Hugo Bernard,user65@example.com,2023/07/15,Paris,plus,53,1,FR
C100211,Alex Robert,user211@example.com,2024/03/06,Toulouse,premium,19,1,FR
C100548,Alex Robert,user548@example.com,2023/11/06,Bordeaux,basic,35,0,FR
C101064,Léa Petit,user1064@example.com,2024/03/27,Paris,plus,74,0,FR
C100984,Noah Durand,user984@example.com,2023-12-19,Nantes,basic,52,1,FR
C100159,Jules Bernard,user159@example.com,2024-04-15,Marseille,basic,76,0,FR
C100430,Sarah Moreau,user430@example.com,2023/02/20,Toulouse,basic,24,1,FR
C100484,Jules Robert,user484@example.com,2023/10/05,Marseille,basic,79,1,FR
C100049,Hugo Richard,user49@example.com,12/04/2024,Strasbourg,premium,73,0,FR
C100081,Hugo Thomas,user81@example.com,2023/09/20,Nantes,basic,79,0,FR
C100641,Camille Durand,user641@example.com,03/07/2024,Paris,plus,48,0,FR
C100589,Nina Martin,user589@example.com,2024-05-21,Bordeaux,basic,71,0,FR
C100623,Hugo Richard,user623@example.com,2023-09-08,Strasbourg,plus,31,1,FR
C101060,Léa Dubois,user1060@example.com,2024/04/07,Paris,plus,48,1,FR
C100613,Yanis Bernard,user613@example.com,20/08/2023,Lille,basic,73,1,FR
C100347,Nina Petit,user347@example.com,2024-07-15,Bordeaux,plus,68,1,FR
C101017,Camille Petit,user1017@example.com,2023/10/24,Strasbourg,premium,75,1,FR
C100331,Sarah Petit,user331@example.com,2023-08-11,Paris,basic,41,0,FR
C100639,Yanis Robert,user639@example.com,2024/07/23,Toulouse,plus,51,1,FR
C100248,Alex Petit,user248@example.com,2024-04-17,Nantes,plus,34,1,FR
C100435,Jules Robert,user435@example.com,16/03/2023,Toulouse,basic,71,1,FR
C100824,Camille Petit,user824@example.com,09/01/2024,Paris,basic,29,1,FR
C100547,Léa Robert,user547@example.com,2023/12/21,Lille,basic,46,1,FR
C100408,Yanis Leroy,user408@example.com,14/07/2024,Lyon,basic,47,1,FR
C100340,Emma Martin,user340@example.com,2024-01-16,Lille,plus,40,0,FR
C101024,Emma Richard,user1024@example.com,08/05/2024,Lille,premium,49,1,FR
C100567,Hugo Richard,user567@example.com,2023-05-30,Lille,basic,53,1,FR
C100280,Inès Thomas,user280@example.com,2023-06-15,Lyon,basic,36,1,FR
C100186,Hugo Leroy,user186@example.com,2023-04-10,Toulouse,plus,77,1,FR
C100798,Inès Dubois,user798@example.com,2023/07/09,Marseille,plus,64,1,FR
C100148,Emma Durand,user148@example.com,2024-05-08,Nantes,basic,32,1,FR
C100320,Omar Martin,user320@example.com,12/07/2023,Bordeaux,basic,68,0,FR
C100912,Inès Robert,user912@example.com,14/08/2023,Strasbourg,basic,45,1,FR
