cust_id;fullName;email;signup_date;city;segment;age;mkt_opt_in
C101049;Noah Bernard;user1049@example.com;2023/03/13;Lille;basic;19;1
C100476;Camille Thomas;user476@example.com;2024/05/23;Lyon;plus;31;1
C100061;Camille Martin;user61@example.com;2024-03-22;Strasbourg;basic;69;1
C100910;Sarah Durand;user910@example.com;2024-04-07;Marseille;basic;33;1
C100068;Léa Robert;user68@example.com;2023-02-15;Strasbourg;basic;74;1
C101197;Léa Richard;user1197@example.com;12/08/2024;Marseille;basic;78;1
C100683;Emma Moreau;user683@example.com;29/07/2024;Bordeaux;plus;70;1
C101026;Hugo Martin;user1026@example.com;2023/02/16;Strasbourg;plus;25;1
C100741;Omar Bernard;user741@example.com;2024-04-02;Marseille;basic;26;0
C100907;Alex Petit;user907@example.com;14/04/2023;Lyon;premium;36;1
C100102;Yanis Leroy;user102@example.com;2024/04/27;Nantes;plus;55;1
C100273;Léa Durand;user273@example.com;2024-07-29;Lyon;basic;66;1
C100883;Nina Robert;user883@example.com;04/04/2023;Nantes;basic;43;1
C100933;Nina Thomas;user933@example.com;2024/01/25;Lille;premium;42;0
C100770;Camille Dubois;user770@example.com;2024/01/27;Bordeaux;basic;64;1
C100268;Inès Petit;user268@example.com;03/01/2024;Bordeaux;plus;18;1
C100263;Emma Dubois;user263@example.com;2024/07/09;Paris;basic;56;1
C100909;Yanis Moreau;user909@example.com;2023/02/25;Marseille;basic;64;1
C100739;Camille Bernard;user739@example.com;2024-06-23;Lyon;basic;79;1
C100343;Jules Martin;user343@example.com;06/11/2023;Toulouse;basic;51;0
C101179;Hugo Thomas;user1179@example.com;15/01/2023;Nantes;plus;55;1
C100457;Hugo Moreau;user457@example.com;16/01/2024;Bordeaux;plus;34;1
C100618;Alex Petit;user618@example.com;06/02/2023;Lyon;basic;51;0
C100995;Sarah Bernard;user995@example.com;11/01/2024;Bordeaux;plus;29;0
C100182;Inès Richard;user182@example.com;2023/10/26;Marseille;basic;27;1
C100099;Noah Thomas;user99@example.com;2023/03/25;Paris;basic;53;0
C100437;Jules Robert;user437@example.com;10/07/2024;Toulouse;premium;68;0
C100379;Emma Richard;user379@example.com;2023-06-07;Toulouse;premium;41;1
C100226;Omar Martin;user226@example.com;2024-04-30;Nantes;basic;32;1
C100047;Omar Robert;user47@example.com;2024-06-19;Lille;basic;22;1
C100857;Léa Martin;user857@example.com;04/02/2023;Nantes;basic;unknown;1
C100747;Omar Richard;user747@example.com;2023-07-08;Strasbourg;premium;19;1
C101136;Emma Durand;user1136@example.com;2024/03/10;Lille;premium;26;1
C100546;Omar Richard;user546@example.com;2023-09-15;Strasbourg;plus;47;1
C100662;Sarah Durand;user662@example.com;2023/01/22;Bordeaux;premium;61;1
C101053;Nina Leroy;user1053@example.com;2024/07/29;Toulouse;plus;59;1
C100498;Hugo Martin;user498@example.com;2024/07/09;Marseille;premium;26;1
C101145;Nina Leroy;user1145@example.com;17/10/2023;Marseille;basic;24;0
C100954;Camille Durand;user954@example.com;2024-04-16;Nantes;plus;25;0
C100571;Noah Dubois;user571@example.com;07/09/2023;Lille;plus;63;0
C100974;Nina Thomas;user974@example.com;30/03/2023;Lyon;basic;47;0
C100355;Alex Thomas;user355@example.com;18/08/2024;Lyon;plus;70;1
C100639;Yanis Robert;user639@example.com;2024/07/23;Toulouse;plus;51;1
C100375;Alex Richard;user375@example.com;2023/02/26;Marseille;basic;26;1
C101061;Hugo Bernard;user1061@example.com;2024-02-17;Strasbourg;premium;54;1
C100680;Sarah Thomas;user680@example.com;2024/03/10;Lille;basic;79;1
C100992;Emma Thomas;user992@example.com;2023/04/29;Marseille;plus;41;0
C100496;Alex Bernard;user496@example.com;2023/03/13;Lille;basic;16;1
C100323;Noah Martin;user323@example.com;2024-07-03;Lyon;plus;59;1
C100432;Sarah Bernard;user432@example.com;2024/05/10;Paris;plus;35;1
C100363;Hugo Moreau;user363@example.com;2024/06/20;Strasbourg;premium;69;1
C100874;Alex Richard;user874@example.com;23/02/2024;Nantes;basic;47;1
C101075;Léa Dubois;user1075@example.com;09/04/2023;Lille;basic;21;1
C100640;Noah Richard;user640@example.com;07/02/2024;Lille;basic;49;0
C100284;Camille Durand;user284@example.com;22/09/2023;Lille;plus;49;0
C100305;Inès Robert;user305@example.com;2023-03-26;Lyon;basic;57;0
C100717;Camille Bernard;user717@example.com;2023/10/23;Lille;plus;unknown;1
C100199;Sarah Martin;user199@example.com;2024-07-31;Marseille;basic;47;1
C100465;Inès Thomas;user465@example.com;02/08/2024;Lille;premium;72;1
C101072;Jules Dubois;user1072@example.com;2024-03-29;Marseille;plus;63;1
C100861;Yanis Leroy;user861@example.com;2024-07-10;Toulouse;basic;30;0
C100460;Yanis Robert;user460@example.com;09/03/2024;Toulouse;basic;79;1
C101054;Inès Bernard;user1054@example.com;2023-02-15;Marseille;premium;42;1
C100223;Omar Thomas;user223@example.com;2023-05-02;Nantes;basic;42;1
C101186;Alex Moreau;user1186@example.com;27/03/2023;Strasbourg;premium;74;0
C101043;Inès Bernard;user1043@example.com;12/08/2023;Paris;basic;16;1
C100511;Omar Durand;user511@example.com;2024-03-23;Lille;basic;75;1
C100745;Léa Leroy;user745@example.com;07/08/2023;Paris;premium;72;1
C100400;Inès Richard;user400@example.com;21/08/2024;Marseille;premium;43;0
C100905;Jules Moreau;user905@example.com;01/03/2024;Marseille;plus;68;1
C100397;Nina Martin;user397@example.com;28/04/2023;Nantes;basic;76;0
C100505;Emma Durand;user505@example.com;30/09/2023;Bordeaux;premium;68;1
C100524;Alex Thomas;user524@example.com;2023-07-11;Toulouse;basic;74;1
C101082;Emma Leroy;user1082@example.com;2024/07/28;Marseille;basic;69;1
C100441;Emma Durand;user441@example.com;2023-06-30;Paris;basic;72;0
C100431;Léa Moreau;user431@example.com;2024/03/19;Strasbourg;premium;47;1
C100015;Jules Petit;user15@example.com;2024-04-16;Paris;basic;35;1
C100508;Nina Richard;user508@example.com;2023/06/11;Lyon;premium;20;1
C100949;Inès Robert;user949@example.com;2023/06/16;Bordeaux;basic;23;0
C100385;Omar Dubois;user385@example.com;15/03/2023;Marseille;premium;57;1
C100818;Hugo Durand;user818@example.com;2024-02-04;Nantes;plus;73;1
C100931;Omar Martin;user931@example.com;2024-02-24;Strasbourg;plus;23;1
C101135;Yanis Moreau;user1135@example.com;2023-02-04;Toulouse;plus;34;0
C100067;Hugo Durand;user67@example.com;2023-08-11;Marseille;premium;36;0
C100071;Emma Leroy;user71@example.com;2023-04-24;Paris;basic;77;1
C100576;Emma Bernard;user576@example.com;09/07/2024;Marseille;plus;26;1
C100842;Nina Richard;user842@example.com;2024-06-29;Nantes;plus;59;1
C100922;Nina Leroy;user922@example.com;2023-09-25;Toulouse;basic;59;0
C100656;Inès Bernard;user656@example.com;2024/04/04;Marseille;basic;26;0
C100083;Jules Leroy;user83@example.com;2024-05-14;Bordeaux;plus;26;1
C100575;Hugo Petit;user575@example.com;2023-08-13;Lyon;basic;58;1
C100349;Sarah Bernard;user349@example.com;2023-04-09;Paris;basic;50;1
C100958;Noah Dubois;user958@example.com;05/08/2024;Bordeaux;basic;50;0
C100555;Léa Leroy;user555@example.com;2023/10/30;Marseille;plus;68;1
C100058;Omar Richard;user58@example.com;2024/03/22;Toulouse;basic;32;0
C101184;Omar Dubois;user1184@example.com;10/09/2023;Lyon;basic;24;1
C100248;Alex Petit;user248@example.com;2024-04-17;Nantes;plus;34;1
C100816;Omar Martin;user816@example.com;2023/01/26;Lille;basic;67;1
C101007;Nina Bernard;user1007@example.com;2023/10/30;Bordeaux;basic;79;0
C100579;Emma Durand;user579@example.com;2023/03/03;Nantes;basic;48;0
C100565;Yanis Martin;user565@example.com;2023/05/23;Strasbourg;basic;25;1
C100743;Jules Leroy;user743@example.com;12/06/2023;Paris;basic;67;1
C100956;Alex Leroy;user956@example.com;29/08/2023;Lille;basic;37;1
C100281;Jules Martin;user281@example.com;2023/10/19;Paris;basic;48;0
C100624;Inès Thomas;user624@example.com;29/12/2023;Bordeaux;plus;35;1
C100370;Camille Moreau;user370@example.com;2023/07/21;Paris;basic;54;1
C100070;Emma Bernard;user70@example.com;2024/04/22;Marseille;premium;28;0
C100007;Alex Bernard;user7@example.com;2024/02/23;Nantes;basic;73;0
C100181;Nina Bernard;user181@example.com;2023-04-02;Marseille;basic;77;0
C100158;Léa Bernard;user158@example.com;2023-10-31;Paris;plus;74;1
C100387;Emma Robert;user387@example.com;13/05/2024;Paris;plus;23;1
C100213;Nina Thomas;user213@example.com;2023-09-27;Bordeaux;premium;76;1
C100230;Inès Thomas;user230@example.com;2023/10/05;Lille;premium;36;1
C100971;Nina Robert;user971@example.com;2023-09-09;Nantes;basic;30;0
C100287;Yanis Petit;user287@example.com;10/12/2023;Paris;basic;31;1
C100869;Léa Moreau;user869@example.com;2023/01/25;Lille;basic;59;1
C100835;Hugo Dubois;user835@example.com;2024/04/11;Bordeaux;plus;54;1
C100137;Alex Leroy;user137@example.com;2023/01/19;Marseille;plus;53;0
C100101;Omar Richard;user101@example.com;2023/04/30;Lille;plus;58;0
C100272;Yanis Thomas;user272@example.com;2023/04/01;Lille;basic;27;1
C100235;Emma Leroy;user235@example.com;2024/03/07;Paris;premium;30;0
C101144;Léa Thomas;user1144@example.com;18/07/2023;Toulouse;plus;32;1
C100748;Emma Petit;user748@example.com;07/07/2023;Paris;basic;30;0
C100612;Inès Petit;user612@example.com;2024/04/15;Nantes;plus;48;1
C100321;Inès Petit;user321@example.com;2023-03-06;Nantes;basic;55;1
C101055;Inès Dubois;user1055@example.com;2024/08/20;Nantes;basic;53;1
C100146;Sarah Petit;user146@example.com;2023/01/21;Bordeaux;basic;39;1
C101059;Nina Durand;user1059@example.com;06/07/2023;Strasbourg;basic;60;1
C100327;Omar Petit;user327@example.com;2023/01/23;Lyon;basic;49;1
C100945;Inès Dubois;user945@example.com;2023/03/13;Lille;premium;17;1
C100279;Inès Robert;user279@example.com;2023-02-19;Lille;basic;48;0
C100654;Hugo Leroy;user654@example.com;2023-11-28;Paris;plus;35;0
C100119;Inès Durand;user119@example.com;2023-03-10;Lille;premium;unknown;0
C100328;Léa Leroy;user328@example.com;2023-03-26;Paris;basic;59;1
C100852;Sarah Bernard;user852@example.com;2024/07/31;Marseille;basic;19;1
C100543;Inès Moreau;user543@example.com;2023/04/15;Paris;premium;44;0
C100783;Sarah Durand;user783@example.com;15/03/2023;Bordeaux;basic;20;0
C100239;Jules Moreau;user239@example.com;2024-01-12;Strasbourg;premium;29;0
C100776;Nina Robert;user776@example.com;2023/09/12;Strasbourg;basic;53;1
C100487;Camille Durand;user487@example.com;15/11/2023;Lille;basic;71;1
C100790;Camille Robert;user790@example.com;27/02/2023;Toulouse;basic;21;0
C100844;Camille Durand;user844@example.com;2023-01-04;Marseille;premium;55;1
C100401;Sarah Richard;user401@example.com;2024-04-11;Nantes;basic;42;1
C100671;Yanis Moreau;user671@example.com;2024-01-04;Lyon;basic;45;1
C100045;Alex Thomas;user45@example.com;05/08/2024;Strasbourg;basic;64;1
C100521;Léa Richard;user521@example.com;2023-03-29;Nantes;basic;69;1
