client_id,name,email,signup_date,segment,country,age
C100984,Noah Durand,user984@example.com,2023-12-19,basic,FR,79.0
C100887,Sarah Leroy,user887@example.com,2023-04-26,basic,FR,27.0
C100011,Inès Leroy,user11@example.com,2024/08/08,plus,FR,18.0
C100235,Emma Leroy,,2024/03/07,premium,FR,28.0
C100596,Camille Moreau,user596@example.com,2023/12/14,plus,FR,66.0
C100106,Alex Moreau,user106@example.com,13/04/2024,plus,FR,69.0
C100820,Camille Petit,user820@example.com,2023/01/15,plus,FR,34.0
C100469,Camille Dubois,user469@example.com,13/07/2024,premium,FR,33.0
C100515,Nina Robert,user515@example.com,2023-03-05,plus,FR,39.0
C100312,Léa Bernard,user312@example.com,13/03/2023,plus,FR,58.0
C101066,Camille Dubois,user1066@example.com,09/07/2024,plus,FR,33.0
C100034,Yanis Richard,user34@example.com,16/06/2024,basic,FR,-5.0
C100346,Yanis Richard,user346@example.com,2024/08/17,basic,FR,37.0
C100782,Emma Bernard,,15/03/2023,premium,FR,49.0
C100567,Hugo Richard,user567@example.com,2023-05-30,basic,FR,23.0
C100915,Yanis Durand,user915@example.com,2023/10/03,premium,FR,57.0
C100688,Léa Thomas,user688@example.com,2023-09-25,premium,FR,83.0
C100583,Inès Bernard,user583@example.com,01/02/2023,basic,FR,
C100514,Yanis Bernard,user514@example.com,29/07/2024,basic,FR,59.0
C100166,Camille Petit,user166@example.com,12/07/2023,basic,FR,37.0
C100655,Nina Moreau,,16/11/2023,premium,FR,71.0
C101188,Inès Martin,user1188@example.com,2023/12/06,plus,FR,
C100517,Omar Leroy,user517@example.com,2023/02/09,plus,FR,21.0
C101022,Alex Dubois,user1022@example.com,2024-06-05,basic,FR,
C100149,Jules Thomas,user149@example.com,2023/02/04,basic,FR,54.0
C100552,Jules Durand,user552@example.com,2024/05/11,premium,FR,67.0
C100040,Léa Thomas,user40@example.com,10/04/2023,premium,FR,62.0
C100344,Sarah Petit,user344@example.com,27/06/2024,,FR,26.0
C100760,Léa Moreau,,16/04/2023,plus,FR,60.0
C100559,Hugo Petit,user559@example.com,2024/05/25,premium,FR,18.0
C100753,Léa Thomas,user753@example.com,15/07/2024,premium,FR,36.0
C100788,Léa Bernard,user788@example.com,2023/11/23,premium,FR,29.0
C101074,Alex Bernard,user1074@example.com,08/10/2023,,FR,64.0
C100003,Jules Bernard,user3@example.com,2023/09/21,,FR,84.0
C100554,Nina Richard,user554@example.com,13/08/2024,basic,FR,18.0
C100794,Alex Thomas,user794@example.com,16/09/2023,,FR,33.0
C100578,Omar Richard,user578@example.com,20/06/2024,basic,FR,64.0
C100498,Hugo Martin,user498@example.com,2024/07/09,premium,FR,65.0
C100201,Jules Robert,,29/06/2024,basic,FR,35.0
C100479,Omar Bernard,user479@example.com,2023-03-07,basic,FR,
C100032,Inès Bernard,user32@example.com,2023/02/25,,FR,21.0
C100667,Emma Leroy,user667@example.com,31/05/2024,basic,FR,
C100687,Inès Bernard,user687@example.com,2023/12/23,basic,FR,18.0
C100292,Noah Leroy,user292@example.com,2024/07/26,plus,FR,36.0
C100575,Hugo Petit,user575@example.com,2023-08-13,basic,FR,39.0
C100117,Jules Moreau,user117@example.com,2023/03/25,basic,FR,53.0
C100338,Alex Petit,user338@example.com,2023/05/02,plus,FR,59.0
C100331,Sarah Petit,user331@example.com,2023-08-11,basic,FR,78.0
C101177,Hugo Durand,user1177@example.com,2023-04-25,plus,FR,69.0
C100939,Alex Robert,user939@example.com,2023-11-02,plus,FR,
C100464,Hugo Bernard,user464@example.com,2023/01/04,,FR,60.0
C101186,Alex Moreau,user1186@example.com,27/03/2023,premium,FR,67.0
C100905,Jules Moreau,user905@example.com,01/03/2024,plus,FR,22.0
C100343,Jules Martin,user343@example.com,06/11/2023,basic,FR,43.0
C100279,Inès Robert,user279@example.com,2023-02-19,basic,FR,70.0
C100619,Sarah Martin,user619@example.com,2023/03/25,plus,FR,
C101167,Hugo Robert,user1167@example.com,28/08/2023,basic,FR,76.0
C100886,Noah Bernard,user886@example.com,01/02/2023,basic,FR,25.0
C100735,Nina Petit,user735@example.com,07/02/2024,basic,FR,
C100708,Yanis Leroy,user708@example.com,2023/10/13,plus,FR,54.0
C100795,Omar Moreau,user795@example.com,2023-06-27,plus,FR,72.0
C100015,Jules Petit,,2024-04-16,basic,FR,20.0
C101116,Yanis Bernard,user1116@example.com,2024-08-20,basic,FR,51.0
C101070,Nina Dubois,user1070@example.com,2024-02-09,plus,FR,60.0
C100933,Nina Thomas,user933@example.com,2024/01/25,premium,FR,69.0
C100050,Inès Durand,user50@example.com,2024/03/31,basic,FR,77.0
C101122,Inès Dubois,user1122@example.com,11/06/2023,basic,FR,18.0
C100424,Camille Thomas,user424@example.com,2023/09/08,basic,FR,35.0
C100028,Nina Moreau,user28@example.com,24/11/2023,premium,FR,84.0
C100501,Jules Durand,user501@example.com,27/01/2024,premium,FR,47.0
C100208,Nina Moreau,user208@example.com,2023/06/08,premium,FR,55.0
C100023,Noah Durand,user23@example.com,2024/07/10,plus,FR,44.0
C101086,Camille Leroy,user1086@example.com,2024/04/25,premium,FR,66.0
C101147,Omar Leroy,user1147@example.com,2024/04/06,plus,FR,66.0
C100581,Hugo Bernard,user581@example.com,2024/05/15,plus,FR,
C100966,Léa Leroy,user966@example.com,2023/12/27,premium,FR,-5.0
C100959,Sarah Petit,user959@example.com,2023-09-05,basic,FR,47.0
C100888,Omar Richard,user888@example.com,2023-01-10,plus,FR,
C100996,Nina Petit,,12/11/2023,basic,FR,
C101185,Emma Thomas,,2023-07-04,plus,FR,63.0
C100436,Alex Leroy,user436@example.com,2023-12-07,basic,FR,59.0
C100970,Emma Petit,user970@example.com,2023/06/29,basic,FR,20.0
C100664,Inès Leroy,,25/12/2023,plus,FR,83.0
C100681,Camille Durand,,2023-03-24,plus,FR,
C101164,Jules Richard,,07/11/2023,plus,FR,57.0
C100317,Camille Petit,user317@example.com,12/03/2024,premium,FR,50.0
C100358,Inès Dubois,user358@example.com,2023/02/24,plus,FR,48.0
C100766,Nina Richard,user766@example.com,32/13/2025,plus,FR,19.0
C100085,Hugo Richard,user85@example.com,2024-02-25,premium,FR,68.0
C100826,Inès Richard,user826@example.com,13/02/2024,plus,FR,75.0
C100072,Sarah Richard,user72@example.com,2023/10/05,basic,FR,43.0
C100854,Hugo Moreau,user854@example.com,2023/06/22,,FR,46.0
C100706,Nina Leroy,user706@example.com,2023/01/05,basic,FR,24.0
C100824,Camille Petit,user824@example.com,09/01/2024,basic,FR,72.0
C100341,Camille Petit,user341@example.com,2023/06/24,basic,FR,64.0
C100236,Omar Leroy,user236@example.com,02/02/2024,basic,FR,45.0
C100305,Inès Robert,user305@example.com,2023-03-26,basic,FR,
C100865,Léa Dubois,user865@example.com,2024/02/23,premium,FR,38.0
C100335,Noah Dubois,user335@example.com,29/04/2024,basic,FR,
C100703,Léa Bernard,user703@example.com,2023-04-13,basic,FR,47.0
C101114,Léa Bernard,user1114@example.com,27/04/2023,basic,FR,70.0
C100035,Jules Richard,user35@example.com,2023-02-08,basic,FR,37.0
C100736,Nina Robert,,14/03/2024,basic,FR,76.0
C100863,Yanis Bernard,user863@example.com,2024-04-08,basic,FR,26.0
C101016,Sarah Martin,user1016@example.com,19/08/2023,basic,FR,48.0
C100828,Léa Bernard,user828@example.com,02/06/2024,basic,FR,54.0
C101077,Jules Richard,user1077@example.com,10/04/2023,,FR,78.0
C100059,Inès Dubois,user59@example.com,2024/02/14,premium,FR,19.0
C100620,Hugo Martin,user620@example.com,2023/09/18,premium,FR,
C100159,Jules Bernard,,2024-04-15,basic,FR,17.0
C100488,Noah Robert,user488@example.com,2024-04-04,plus,FR,45.0
C100156,Léa Leroy,user156@example.com,17/03/2023,basic,FR,49.0
C100946,Léa Moreau,user946@example.com,2024-08-07,basic,FR,55.0
C100564,Omar Dubois,user564@example.com,2024-06-17,basic,FR,63.0
C100652,Camille Thomas,user652@example.com,02/05/2023,basic,FR,32.0
C100594,Hugo Dubois,user594@example.com,12/07/2023,premium,FR,77.0
C101073,Omar Leroy,user1073@example.com,12/11/2023,plus,FR,48.0
C101171,Noah Moreau,user1171@example.com,2024/01/14,,FR,34.0
C100293,Yanis Martin,user293@example.com,2023/07/18,plus,FR,76.0
C100579,Emma Durand,user579@example.com,2023/03/03,basic,FR,53.0
C100866,Alex Thomas,user866@example.com,2024/05/06,basic,FR,36.0
C101115,Nina Thomas,user1115@example.com,2023/10/22,basic,FR,79.0
C100631,Nina Dubois,,2023-07-16,premium,FR,37.0
C100355,Alex Thomas,user355@example.com,18/08/2024,plus,FR,22.0
C100531,Sarah Leroy,user531@example.com,2023-04-10,basic,FR,49.0
C100395,Hugo Moreau,user395@example.com,2024-06-08,plus,FR,37.0
C100548,Alex Robert,user548@example.com,2023/11/06,basic,FR,32.0
C100421,Noah Durand,user421@example.com,2024-02-21,basic,FR,28.0
C100400,Inès Richard,user400@example.com,21/08/2024,premium,FR,65.0
C100295,Camille Durand,user295@example.com,2023/11/09,plus,FR,59.0
C100625,Hugo Robert,user625@example.com,2023-05-20,basic,FR,36.0
C101145,Nina Leroy,user1145@example.com,17/10/2023,basic,FR,84.0
C101043,Inès Bernard,user1043@example.com,12/08/2023,,FR,80.0
C100861,Yanis Leroy,user861@example.com,2024-07-10,basic,FR,
C101175,Omar Moreau,user1175@example.com,2023-07-23,basic,FR,30.0
C101052,Jules Dubois,user1052@example.com,2023/10/29,basic,FR,
C101106,Omar Durand,,2023/05/27,,FR,74.0
C101180,Noah Martin,user1180@example.com,2023-12-31,plus,FR,64.0
C100893,Sarah Dubois,user893@example.com,11/08/2024,basic,FR,69.0
C100445,Yanis Richard,user445@example.com,02/02/2024,basic,FR,59.0
C101059,Nina Durand,user1059@example.com,06/07/2023,basic,FR,60.0
C100574,Sarah Richard,user574@example.com,05/01/2023,plus,FR,39.0
C100991,Sarah Martin,user991@example.com,26/11/2023,plus,FR,
C100731,Inès Petit,user731@example.com,2023/09/09,plus,FR,65.0
C100300,Hugo Leroy,user300@example.com,07/08/2023,plus,FR,84.0
C101165,Hugo Richard,user1165@example.com,04/03/2023,plus,FR,23.0
C100816,Omar Martin,user816@example.com,2023/01/26,basic,FR,29.0
C101176,Sarah Martin,user1176@example.com,2023-07-09,premium,FR,17.0
C100742,Noah Richard,user742@example.com,16/01/2024,basic,FR,19.0
C100250,Léa Thomas,user250@example.com,18/04/2023,,FR,63.0
C100431,Léa Moreau,user431@example.com,2024/03/19,premium,FR,32.0
C100964,Léa Richard,user964@example.com,2024/07/23,premium,FR,78.0
C100427,Noah Dubois,user427@example.com,2024-04-27,basic,FR,56.0
C100954,Camille Durand,user954@example.com,2024-04-16,plus,FR,65.0
C100733,Omar Petit,user733@example.com,2024-04-09,plus,FR,30.0
C100404,Léa Martin,user404@example.com,27/10/2023,basic,FR,31.0
C100629,Sarah Durand,user629@example.com,2023/08/08,,FR,75.0
C100958,Noah Dubois,user958@example.com,05/08/2024,,FR,73.0
C100176,Yanis Moreau,user176@example.com,06/03/2024,plus,FR,26.0
C100947,Léa Petit,user947@example.com,2023-03-22,premium,FR,52.0
C100234,Sarah Richard,user234@example.com,23/10/2023,basic,FR,
C100366,Camille Moreau,user366@example.com,09/10/2023,basic,FR,27.0
C100711,Sarah Durand,user711@example.com,2023-11-10,basic,FR,68.0
C101123,Nina Moreau,user1123@example.com,2023-05-27,basic,FR,59.0
C100443,Hugo Robert,user443@example.com,2023-10-21,basic,FR,46.0
C101184,Omar Dubois,user1184@example.com,10/09/2023,basic,FR,24.0
C100482,Sarah Dubois,user482@example.com,2023/05/31,plus,FR,73.0
C100746,Nina Bernard,user746@example.com,16/11/2023,basic,FR,32.0
C100798,Inès Dubois,user798@example.com,2023/07/09,plus,FR,
C100449,Omar Durand,user449@example.com,2023/06/21,plus,FR,66.0
C100669,Noah Dubois,user669@example.com,21/03/2023,plus,FR,22.0
C100258,Nina Petit,user258@example.com,2023/04/16,,FR,82.0
C100780,Jules Dubois,user780@example.com,2024-06-10,premium,FR,53.0
C100060,Léa Durand,user60@example.com,07/07/2024,basic,FR,40.0
C100207,Léa Martin,user207@example.com,04/08/2024,basic,FR,78.0
